ID,Query
8710.0,What is the acupuncturist - coinsurance?
8720.0,What is the acupuncturist - max per visit?
8730.0,What is the acupuncturist - annual max?
9000.0,What is the p drug plan lives single?
9050.0,What is the p drug plan lives family?
9100.0,What is the p drug plan rate single?
9150.0,What is the p drug plan rate family?
9200.0,What is the p drug plan monthly premium?
9250.0,What is the p drug plan premium single?
9300.0,What is the p drug plan premium family?
9350.0,What is the base plan?
9400.0,What is the plan type?
9450.0,What is the coinsurance?
9500.0,What is the per prescription deductible?
9550.0,What is the dispensing fee limit?
9600.0,What is the dispensing fee coinsurance?
9650.0,What is the dispensing fee frequency limit?
9700.0,What is the generic?
9750.0,What is the optional drug vaccine?
9800.0,What is the pdd preferred provider?
9850.0,What is the plan option?
9900.0,What is the per prescription deductible?
9950.0,What is the cosinsurance?
10000.0,What is the other plan features?
10050.0,What is the drug maximum per individual?
10100.0,What is the smart drug plan applies?
10150.0,What is the coordination of benefits?
10200.0,What is the visioncare lives single?
10210.0,What is the visioncare lives family?
10220.0,What is the visioncare rate single?
10230.0,What is the visioncare rate family?
10240.0,What is the visioncare monthly premium?
10250.0,What is the visioncare premium single?
10260.0,What is the visioncare premium family?
10270.0,What is the single deuctible?
10280.0,What is the family deductible?
10290.0,What is the eye examination coinsurance?
10300.0,What is the eye examination maximum: r & c?
10310.0,What is the benefit period - adult?
10320.0,What is the benefit period - child?
10330.0,"What is the lens, frames, contacts coisurance?"
10340.0,"What is the lens, frames, contacts maximum?"
10350.0,What is the benefit period - adult?
10360.0,What is the benefit period - child?
10400.0,What is the dentalcare lives single?
10410.0,What is the dentalcare  lives family?
10420.0,What is the dentalcare  rate single?
10430.0,What is the dentalcare rate family?
10440.0,What is the dentalcare  monthly premium?
10450.0,What is the dentalcare premium single?
10460.0,What is the dentalcare  premium family?
10461.0,What is the plan coverage?
10470.0,What is the single deductible?
10480.0,What is the family deductible?
10490.0,What is the coinsurance?
10500.0,What is the basic?
10510.0,What is the accidental dental?
10520.0,What is the annual maximum?
10530.0,What is the basic?
10540.0,What is the preventative frequency?
10550.0,What is the scaling units?
10560.0,What is the oral hygiene instructions?
10570.0,What is the fee guide year?
10580.0,What is the additional details?
